"Symbol","UNDERLYING ASSET","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME","VALUE
 (₹ Crores)","NAV","52W H","52W L","30D  %CHNG","365 D","365 D % CHNG","30 D"
"BFSI","Nifty Financial Services Index","24.45","24.45","23.63","23.74","23.82","-","0.08","0.34","1,70,620","0.41","23.71","25.90","19.34",-2.78,"16-Nov-2023","18.54","16-Oct-2024"
"GILT5YBEES","Nifty 5 yr Benchmark G-Sec Index","58.50","58.50","58.00","58.14","58.33","-","0.19","0.33","2,88,832","1.68","58.22","61.02","52.48",0.21,"16-Nov-2023","8.85","16-Oct-2024"
"EBANKNIFTY","Edelweiss Nifty Bank ETF","50.19","50.69","50.00","50.19","50.34","-","0.15","0.30","3,106","0.02","50.05","56.38","50.00",-2.84,"-","-","16-Oct-2024"
"MAKEINDIA","Nifty India Manufacturing Total Return Index","137.97","138.77","137.05","137.58","137.99","-","0.41","0.30","33,763","0.46","137.37","161.10","99.28",-10.92,"16-Nov-2023","36.25","16-Oct-2024"
"ITIETF","Nifty IT Index","45.76","45.83","45.29","45.47","45.60","-","0.13","0.29","2,83,624","1.29","45.48","47.15","28.20",0.98,"-","-","16-Oct-2024"
"HDFCPVTBAN","HDFC NIFTY Private Bank ETF","25.16","25.25","24.80","24.84","24.91","-","0.07","0.28","91,707","0.23","24.82","28.47","22.59",-4.32,"16-Nov-2023","-89.21","16-Oct-2024"
"BBNPNBETF","Baroda BNP Paribas NIFTY Bank ETF","50.81","50.81","49.85","50.20","50.34","-","0.14","0.28","466","-","50.04","56.15","49.50",-3.12,"-","-","16-Oct-2024"
"EVINDIA","Nifty EV and New Age Automotive Total Return Index","30.14","30.48","29.80","29.92","30.00","-","0.08","0.27","5,56,712","1.67","29.79","36.00","29.75",-12.09,"-","-","16-Oct-2024"
"LICNETFGSC","GSEC10 NSE Index","26.31","26.49","26.31","26.42","26.49","-","0.07","0.26","58,320","0.15","26.47","27.97","23.30",-0.68,"16-Nov-2023","9.68","16-Oct-2024"
"MULTICAP","Nifty500 Multicap 50:25:25 Index","16.08","16.08","15.27","15.32","15.36","-","0.04","0.26","69,501","0.11","15.28","17.55","15.25",-7.34,"-","-","16-Oct-2024"
"MOMENTUM50","Nifty 500 Momentum 50 Total Return Index","56.88","56.97","56.01","56.26","56.40","-","0.14","0.25","2,26,668","1.28","56.12","66.00","56.01",-12.07,"-","-","16-Oct-2024"
"EBBETF0433","BHARAT Bond ETF-April 2033","1,170.21","1,172.99","1,170.20","1,170.15","1,172.99","-","2.84","0.24","3,265","0.38","1,171.35","1,203.25","858.69",0.44,"16-Nov-2023","10.28","16-Oct-2024"
"ESG","NIFTY100 ESG SECTOR LEADERS","39.87","40.00","39.68","39.75","39.84","-","0.09","0.23","6,040","0.02","39.72","44.74","32.20",-6.34,"16-Nov-2023","22.23","16-Oct-2024"
"SDL26BEES","Nifty SDL Apr 2026 Top 20 Equal Weight Index","125.88","125.99","124.91","125.43","125.70","-","0.27","0.22","632","0.01","125.76","129.00","113.40",0.45,"16-Nov-2023","8.05","16-Oct-2024"
"BSLSENETFG","BSE SENSEX Index","77.76","77.77","76.10","76.83","77.00","-","0.17","0.22","1,855","0.01","76.84","87.70","63.40",-4.64,"16-Nov-2023","19.11","16-Oct-2024"
"HDFCNEXT50","HDFC NIFTY NEXT 50 ETF","68.37","68.80","67.77","68.25","68.39","-","0.14","0.21","1,81,491","1.24","67.72","88.00","46.31",-10.44,"16-Nov-2023","45.10","16-Oct-2024"
"BANKETF","Mirae Asset Nifty Bank ETF","507.18","510.19","503.58","505.74","506.81","-","1.07","0.21","5,039","0.26","505.00","551.94","433.00",-3.24,"16-Nov-2023","14.63","16-Oct-2024"
"ABSLPSE","Aditya Birla Sun Life Nifty PSE ETF","9.92","10.06","9.78","9.91","9.93","-","0.02","0.20","2,28,501","0.22","9.86","11.82","9.26",-10.25,"-","-","16-Oct-2024"
"BBETF0432","Nifty BHARAT Bond Index - April 2032","1,203.52","1,205.89","1,201.88","1,203.51","1,205.86","-","2.35","0.20","3,630","0.44","1,204.66","1,325.38","1,061.20",0.12,"16-Nov-2023","10.05","16-Oct-2024"
"MID150CASE","Zerodha Nifty Midcap 150 ETF","10.18","10.18","9.90","9.95","9.97","-","0.02","0.20","4,14,153","0.41","9.88","12.97","9.11",-8.71,"-","-","16-Oct-2024"
"UTINIFTETF","Nifty 50","258.99","258.99","255.80","256.21","256.69","-","0.48","0.19","16,510","0.42","255.96","285.31","210.38",-5.57,"16-Nov-2023","20.74","16-Oct-2024"
"INFRABEES","Nifty Infra","877.96","885.00","868.59","877.42","879.00","-","1.58","0.18","9,708","0.85","871.32","1,044.85","655.09",-8.22,"16-Nov-2023","31.61","16-Oct-2024"
"EBBETF0431","Nifty BHARAT Bond","1,280.00","1,284.20","1,279.02","1,279.19","1,281.48","-","2.29","0.18","6,698","0.86","1,279.99","1,316.65","1,164.02",0.44,"16-Nov-2023","9.95","16-Oct-2024"
